isbn	title	publisher
160832141X	Rescue America: Our Best America Is Only One Generation Away: Chris Salamone, Gilbert NMO Morris: 9781608321414: Amazon.com: Books	 Greenleaf Book Group Press (October 17, 2011)
0465003346	Let Us Talk of Many Things: The Collected Speeches: William F. Buckley Jr.: Amazon.com: Books	 Basic Books; Reprint edition (October 28, 2008)
0385515332	Amazon.com: Comeback: Conservatism That Can Win Again (9780385515337): David Frum: Books	 Doubleday; 1st edition (December 31, 2007)
1456754254	Right Angle: One Woman&#39;s Journey to Reclaim the Constitution: Sharron Angle: 9781456754259: Amazon.com: Books	 AuthorHouse (June 16, 2011)
0198780702	Amazon.com: We Now Know: Rethinking Cold War History (Council on Foreign Relations Book) (9780198780700): John Lewis Gaddis: Books	 Oxford University Press, USA; 1St Edition edition (April 3, 1997)
0895267616	Prospects for Conservatives: Russell Kirk: 9780895267610: Amazon.com: Books	 Regnery Publishing; Revised Edition edition (December 1, 1989)
0385522215	World War IV: The Long Struggle Against Islamofascism: Norman Podhoretz: 9780385522212: Amazon.com: Books	 Doubleday; First Edition edition (September 11, 2007)
0895265370	Leftism Revisited: From De Sade and Marx to Hitler and Pol Pot: Erik Von Kuehnelt-Leddihin: 9780895265371: Amazon.com: Books	 Regnery Pub; Subsequent edition (February 1991)
0300122535	America at the Crossroads: Democracy, Power, and the Neoconservative Legacy: Francis Fukuyama: 9780300122534: Amazon.com: Books	 Yale University Press (March 20, 2007)
0982707452	Confrontational Politics: H. L. Richardson: 9780982707456: Amazon.com: Books	 Nordskog Publishing, Inc.; Tion edition (October 1, 2010)
1936488396	How Obama Can Be Defeated in 2012: A Battle Plan Based on Political Statistical Realities: Dr. Jerome Corsi, Brad O&#39;Leary: 9781936488391: Amazon.com: Books	 WND Books (June 2, 2011)
1935071602	Amazon.com: United in Hate: The Left&#39;s Romance with Tyranny and Terror (9781935071600): Jamie Glazov: Books	 WND Books; 1 edition (March 3, 2009)
0061095397	To Renew America: Newt Gingrich: 9780061095399: Amazon.com: Books	 Harpercollins (Mm) (July 1996)
1891799096	Amazon.com: The Dark Side of Liberalism: Unchaining the Truth (9781891799099): Phil Kent: Books	 Harbor House (GA) (May 2003)
0062018175	Give Us Liberty LP: A Tea Party Manifesto: Dick Armey, Matt Kibbe: Amazon.com: Books	 HarperLuxe; Lrg Dlx edition (August 31, 2010)
0316032239	Amazon.com: In Defense of America: Bronwen Maddox: Books	 Little, Brown and Company (July 1, 2008)
1594033765	Amazon.com: Never Enough: America&#39;s Limitless Welfare State (9781594033766): William Voegeli: Books	 Encounter Books (May 11, 2010)
1427210357	Suicide of a Superpower: Will America Survive to 2025?: Patrick J. Buchanan: 9781427210357: Amazon.com: Books	 Macmillan Audio; Abridged edition (October 18, 2011)
0465045731	A Glorious Disaster: Barry Goldwater&#39;s Presidential Campaign and the Origins of the Conservative Movement: J. William Middendorf II: 9780465045730: Amazon.com: Books	 Basic Books; First edition (October 23, 2006)
193561813X	Underdogma: How America&#39;s Enemies Use Our Love for the Underdog to Trash American Power: Michael Prell: 9781935618133: Amazon.com: Books	 BenBella Books; 1St Edition edition (February 1, 2011)
081799582X	Amazon.com: Barbarians inside the Gates and Other Controversial Essays (HOOVER INST PRESS PUBLICATION) (9780817995829): Thomas Sowell: Books	 Hoover Institution Press (January 15, 1999)
