isbn	title	publisher
0847688275	The Essential Communitarian Reader: Amitai Etzioni, Ronald Bayer, Benjamin R. Barber, Daniel A. Bell, Robert N. Bellah, Senator Bill Bradley, Senator Dan Coats, Roger L. Conner, Ralf Dahrendorf, John J., Jr. DiIulio, William J. Doherty, Jean Bethke Elshtain, James S. Fishkin, William Galston, Mary Ann Glendon, Robert E. Goodin, Peter Katz, Mark Kleiman, Judith Martin, Dallin H. Oaks: 9780847688272: Amazon.com: Books	 Rowman & Littlefield Publishers (February 17, 1998)
081607903X	Winning the White House 2008: The Gallup Poll, Public Opinion, and the Presidency (Facts on File Library of American History): Frank Newport, Alec M. Gallup, Fred L. Israel, Lydia Saad, Jeffrey M. Jones: 9780816079032: Amazon.com: Books	 Checkmark Books (April 2009)
0470281685	Blasphemy: How the Religious Right is Hijacking the Declaration of Independence: Alan Dershowitz: 9780470281680: Amazon.com: Books	 Wiley; 1 edition (June 16, 2008)
0385525869	Know Your Power: A Message to America&#39;s Daughters: Nancy Pelosi, Amy Hill Hearth: 9780385525862: Amazon.com: Books	 Doubleday; 1 edition (July 29, 2008)
1604861975	Amazon.com: Re:Imagining Change: How to Use Story-based Strategy to Win Campaigns, Build Movements, and Change the World (9781604861976): Doyle Canning, Patrick Reinsborough: Books	 PM Press (April 1, 2010)
0700616268	Intelligence Matters: The CIA, the FBI, Saudi Arabia, and the Failure of America&#39;s War on Terror: Bob Graham, Jeff Nussbaum: 9780700616268: Amazon.com: Books	 Univ Pr of Kansas; Reprint edition (September 11, 2008)
1560259485	Fighting Words: A Toolkit for Combating the Religious Right: Robin Morgan: 9781560259480: Amazon.com: Books	 Nation Books (August 25, 2006)
1594865140	Amazon.com: Air America: The Playbook: What a Bunch of Left Wing Media Types have to Teach you about a World Gone Right: Chuck D., David Bender, Thom Hartmann, Robert F. Kennedy Jr., C. Welton Gaddy: Books	 Rodale Books (September 19, 2006)
0465013872	Change for America: A Progressive Blueprint for the 44th President: Mark Green, Michele Jolin: 9780465013876: Amazon.com: Books	 Basic Books; First Edition edition (January 6, 2009)
1608461548	The United States of Fear: Tom Engelhardt: 9781608461547: Amazon.com: Books	 Haymarket Books (December 13, 2011)
1560259566	The Hijacking of Jesus: How the Religious Right Distorts Christianity and Promotes Prejudice and Hate: Dan Wakefield: 9781560259565: Amazon.com: Books	 Nation Books (January 2, 2007)
0300126107	Does American Democracy Still Work? (The Future of American Democracy Series): Alan Wolfe: 9780300126105: Amazon.com: Books	 Yale University Press (September 28, 2007)
1904859356	Amazon.com: Constituent Imagination: Militant Investigations, Collective Theorization (9781904859352): Stevphen Shukaitis, David Graeber, Erika Biddle: Books	 AK Press (February 1, 2007)
0374530904	Thinking Points: Communicating Our American Values and Vision: George Lakoff: 9780374530907: Amazon.com: Books	 Farrar, Straus and Giroux; 1st edition (October 3, 2006)
1401324568	Listening In: The Secret White House Recordings of John F. Kennedy: Ted Widmer, Caroline Kennedy: 9781401324568: Amazon.com: Books	 Hyperion; Har/Com edition (September 25, 2012)
0804770271	Taking Local Control: Immigration Policy Activism in U.S. Cities and States: Monica Varsanyi: 9780804770279: Amazon.com: Books	 Stanford University Press (July 23, 2010)
1859844146	Homocons: The Rise of the Gay Right: Richard Goldstein: 9781859844144: Amazon.com: Books	 Verso (November 2003)
0691128332	Religion in American Politics: A Short History: Frank Lambert: 9780691128337: Amazon.com: Books	 Princeton University Press; First edition (January 28, 2008)
0393330702	What&#39;s Liberal About the Liberal Arts?: Classroom Politics and &quot;Bias&quot; in Higher Education: Michael Bérubé: 9780393330700: Amazon.com: Books	 W. W. Norton & Company (September 17, 2007)
0199283265	A Brief History of Neoliberalism: David Harvey: 9780199283262: Amazon.com: Books	 Oxford University Press, USA; First Edition edition (September 15, 2005)
1439181039	We Seven: By the Astronauts Themselves: M. Scott Carpenter, Gordon L. Cooper, John H. Glenn, Virgil I. Grissom, Walter M. Schirra, Alan B. Shepard, Donald K. Slayton: Amazon.com: Books	 Simon & Schuster (January 12, 2010)
1565849205	With God On Their Side: How Christian Fundamentalists Trampled Science, Policy, And Democracy In George W. Bush&#39;s White House: Esther Kaplan: 9781565849204: Amazon.com: Books	 New Press, The; First Printing edition (October 7, 2004)
0615600611	Winning the Inside Game: The Handbook of Advocacy Strategies: Mr. Ilir Zherka: 9780615600611: Amazon.com: Books	 Ilir Zherka (August 11, 2012)
0742527573	The Collapse of Liberalism: Why America Needs a New Left (Polemics): Charles Noble: 9780742527577: Amazon.com: Books	 Rowman & Littlefield Publishers (May 2004)
0807004111	The Unfinished War: Vietnam and the American Conscience: Walter H. Capps: 9780807004111: Amazon.com: Books	 Beacon Press; 2 edition (August 31, 1990)
184467861X	The Liberal Defence of Murder: Richard Seymour: 9781844678617: Amazon.com: Books	 Verso; 1 edition (July 4, 2012)
0061900648	The Making of the President 1968 (Landmark Political): Theodore H. White: 9780061900648: Amazon.com: Books	 Harper Perennial; Reissue edition (October 5, 2010)
0299106446	La Follette Insurgent Spirit: David P. Thelen, Oscar Handlin: 9780299106447: Amazon.com: Books	 University of Wisconsin Press (May 15, 1986)
0198290918	Multicultural Citizenship: A Liberal Theory of Minority Rights (Oxford Political Theory): Will Kymlicka: 9780198290919: Amazon.com: Books	 Oxford University Press, USA (October 17, 1996)
0684815184	SHOWDOWN: The Struggle Between the Gingrich Congress and the Clinton White House: Elizabeth Drew: 9780684815183: Amazon.com: Books	 Simon & Schuster (April 12, 1996)
0691037647	The Lincoln Persuasion: Remaking American Liberalism: J. David Greenstone: 9780691037646: Amazon.com: Books	 Princeton Univ Pr (July 25, 1994)
1859849520	Hotel America: Scenes in the Lobby of the Fin-De-Siecle: Lewis H. Lapham: Amazon.com: Books	 Verso Books (September 1995)
0395860423	The Gentleman From New York: Daniel Patrick Moynihan -- A Biography: Godfrey Hodgson: 0046442860420: Amazon.com: Books	 Houghton Mifflin Harcourt; 1St Edition edition (August 16, 2000)
006019393X	If the Gods Had Meant Us to Vote They Would Have Given Us Candidates: Jim Hightower: 9780060193935: Amazon.com: Books	 Harper; 1st edition (February 2, 2000)
0765324474	The Dream That Will Not Die: Inspiring Words of John, Robert, and Edward Kennedy: Brian M. Thomsen: Amazon.com: Books	 Forge Books; First Edition edition (April 27, 2010)
0977197298	Amazon.com: Framing the Debate: Famous Presidential Speeches and How Progressives Can Use Them to Change the Conversation (And Win Elections) (9780977197293): Jeffrey Feldman, George Lakoff: Books	 Ig Publishing; 1st Pbk. Ed edition (April 1, 2007)
0978843142	Amazon.com: Loser Take All: Election Fraud and The Subversion of Democracy, 2000 - 2008 (9780978843144): Mark Crispin Miller: Books	 Ig Publishing (April 1, 2008)
0807130605	Falling Up: How A Redneck Helped Invent Political Consulting (Politics@media): Raymond D. Strother: 9780807130605: Amazon.com: Books	 Louisiana State Univ Pr (April 2005)
1605093300	Amazon.com: 2048: Humanity&#39;s Agreement to Live Together: J. Kirk Boyd: Books	 Berrett-Koehler Publishers; 1 edition (April 12, 2010)
1609940296	Rebooting the American Dream: 11 Ways to Rebuild Our Country (Bk Currents): Thom Hartmann: Amazon.com: Books	 Berrett-Koehler Publishers; PB reissue edition (August 1, 2011)
1932528067	Neo-Conned!: Just War Principles: A Condemnation of War in Iraq: D. Liam O&#39;Huallachain, J. Forrest Sharpe, George Lopez PhD, Bishop Hilarion Capucci: 9781932528060: Amazon.com: Books	 Ihs Press (October 28, 2006)
0553456628	John Glenn: A Memoir: John Glenn, Nick Taylor: 9780553456622: Amazon.com: Books	 Random House Audio; Abridged edition (November 2, 1999)
