isbn	title	publisher
0896085236	Eyes Right!: Challenging the Right Wing Backlash: Chip Berlet: 9780896085237: Amazon.com: Books	 South End Press (July 1, 1999)
1595582045	Gun Show Nation: Gun Culture and American Democracy: Joan Burbick: Amazon.com: Books	 New Press, The (November 6, 2007)
0452288312	Armed Madhouse: From Baghdad to New Orleans--Sordid Secrets and Strange Tales of a White House Gone Wild: Greg Palast: 9780452288317: Amazon.com: Books	 Plume; Reprint edition (April 24, 2007)
1400050669	The Lies of George W. Bush: Mastering the Politics of Deception: David Corn: 9781400050666: Amazon.com: Books	 Crown; First Edition edition (September 30, 2003)
0669005568	Participatory Bureaucracy: Women and Minorities in a More Representative Public Service: Harry Kranz: 9780669005561: Amazon.com: Books	 Lexington Books (August 2, 1976)
1419339788	Don&#39;t Think of an Elephant!: Know Your Values and Frame the Debate: George Lakoff, George Wilson: 9781419339783: Amazon.com: Books	 Recorded Books (September 1, 2004)
0307237702	The Audacity of Hope: Thoughts on Reclaiming the American Dream: Barack Obama: 9780307237705: Amazon.com: Books	 Broadway (November 6, 2007)
1605294756	Come Home, America: The Rise and Fall (and Redeeming Promise) of Our Country: William Greider: Amazon.com: Books	 Rodale Books (February 2, 2010)
1859846890	Reclaim the State: Experiments in Popular Democracy: Hilary Wainwright: 9781859846896: Amazon.com: Books	 Verso (July 31, 2003)
0393333132	The Conscience of a Liberal: Paul Krugman: 9780393333138: Amazon.com: Books	 W. W. Norton & Company; Reprint edition (January 12, 2009)
0470184639	Why the Christian Right Is Wrong: A Minister&#39;s Manifesto for Taking Back Your Faith, Your Flag, Your Future: Robin Meyers: 9780470184639: Amazon.com: Books	 Jossey-Bass; 1 edition (April 4, 2008)
0307279197	American Dreamers: How the Left Changed a Nation (Vintage): Michael Kazin: 9780307279194: Amazon.com: Books	 Vintage (September 4, 2012)
1416540644	Amazon.com: It Takes a Village, Tenth Anniversary Edition (9781416540649): Hillary Rodham Clinton: Books	 Simon & Schuster; Anv edition (December 12, 2006)
0060841613	The Good Fight: Why Liberals---and Only Liberals---Can Win the War on Terror and Make America Great Again: Peter Beinart: Amazon.com: Books	 HarperCollins (May 30, 2006)
0816618976	Amazon.com: Education Of A Public Man: My Life and Politics (9780816618972): Hubert Humphrey: Books	 Univ Of Minnesota Press; 1st Paperback Edition edition (September 17, 1991)
1595584994	All That We Share: How to Save the Economy, the Environment, the Internet, Democracy, Our Communities and Everything Else that Belongs to All of Us: Jay Walljasper, Bill McKibben: 9781595584991: Amazon.com: Books	 New Press, The (December 7, 2010)
0195398602	Echo Chamber: Rush Limbaugh and the Conservative Media Establishment: Kathleen Hall Jamieson, Joseph N. Cappella: Amazon.com: Books	 Oxford University Press, USA; Reprint edition (January 15, 2010)
0691134588	Amazon.com: Souled Out: Reclaiming Faith and Politics after the Religious Right (9780691134581): E. J. Dionne: Books	 Princeton University Press (January 7, 2008)
0300115369	Politics and Passion: Toward a More Egalitarian Liberalism: Michael Walzer: 9780300115369: Amazon.com: Books	 Yale University Press (June 7, 2006)
1933354089	Just Call Me Mike: A Journey to Actor and Activist: Mike Farrell: Amazon.com: Books	 RDV Books (March 1, 2007)
0743258584	Stand Up, Fight Back: Republican Toughs, Democratic Wimps, and the Politics of Revenge: E.J. Dionne, Jeanette Olender: 9780743258586: Amazon.com: Books	 Simon & Schuster (May 25, 2004)
0930031318	The Vermont Papers: Recreating Democracy on a Human Scale: Frank Bryan, John McClaughry: 9780930031312: Amazon.com: Books	 Chelsea Green Publishing (July 23, 2008)
0312373066	Amazon.com: State of Confusion: Political Manipulation and the Assault on the American Mind: Bryant Welch: Books	 Thomas Dunne Books (June 10, 2008)
1550228641	An American Story: The Speeches of Barack Obama: A Primer: David Olive: Amazon.com: Books	 Ecw Press (October 1, 2008)
0525949682	Armed Madhouse: Who&#39;s Afraid of Osama Wolf?, China Floats, Bush Sinks, The Scheme to Steal &#39;08, No Child&#39;s Behind Left, and Other Dispatches from the Front Lines of th: Greg Palast: Amazon.com: Books	 Dutton Adult (June 6, 2006)
1573921432	What&#39;s a Nice Republican Girl Like Me Doing in the Aclu?: Sheila Suess Kennedy: 9781573921435: Amazon.com: Books	 Prometheus Books (June 1997)
0814330207	White Nationalism, Black Interests: Conservative Public Policy and the Black Community (African American Life Series): Ronald W. Walters: 9780814330203: Amazon.com: Books	 Wayne State University Press (June 1, 2003)
002612405X	The Kennedy Legacy: Theodore C. Sorensen: 9780026124058: Amazon.com: Books	 Macmillan Pub Co; 25 Anv edition (May 1993)
0465002706	Anarchy, State, and Utopia: Robert Nozick: 9780465002702: Amazon.com: Books	 Basic Books; 1ST edition (December 27, 1974)
0226993337	The Truth about Leo Strauss: Political Philosophy and American Democracy: Catherine H. Zuckert, Michael Zuckert: 9780226993331: Amazon.com: Books	 University Of Chicago Press (April 15, 2008)
147670001X	The Little Blue Book: The Essential Guide to Thinking and Talking Democratic: George Lakoff, Elisabeth Wehling: 9781476700014: Amazon.com: Books	 Free Press; Original edition (June 26, 2012)
0415124743	Amazon.com: Mill on Liberty: A Defence (9780415124744): John Gray: Books	 Routledge; 2 edition (May 2, 1996)
1416597638	Tear Down This Myth: The Right-Wing Distortion of the Reagan Legacy: Will Bunch: 9781416597636: Amazon.com: Books	 Free Press; 1 Reprint edition (February 2, 2010)
1568584172	Republican Gomorrah: Inside the Movement that Shattered the Party: Max Blumenthal: Amazon.com: Books	 Nation Books; First Trade Paper Edition edition (July 13, 2010)
0816643830	How The Rural Poor Got Power: Narrative Of A Grass-Roots Organizer: Paul Wellstone: 9780816643837: Amazon.com: Books	 Univ Of Minnesota Press; 1 edition (August 28, 2003)
0446519251	The Waxman Report: How Congress Really Works: Henry Waxman, Joshua Green: Amazon.com: Books	 Twelve; 1 edition (July 2, 2009)
0743254783	Amazon.com: The Emerging Democratic Majority (9780743254786): John B. Judis, Ruy Teixeira: Books	 Scribner; Reprint edition (February 3, 2004)
156858377X	The Brotherhood of the Disappearing Pants: A Field Guide to Conservative Sex Scandals: Joseph Minton Amann, Tom Breuer: Amazon.com: Books	 Nation Books (November 2, 2007)
1560256532	Terry Jones&#39;s War on the War on Terror: Observations and Denunciations by a Founding Member of Monty Python (Nation Books): Terry Jones, Steve Bell: 9781560256533: Amazon.com: Books	 Nation Books (December 20, 2004)
0679768092	Losers: The Road to Everyplace but the White House: Michael Lewis: 9780679768098: Amazon.com: Books	 Vintage; 1st Vintage Books Ed edition (July 28, 1998)
0452287677	The Truth (with jokes): Al Franken: Amazon.com: Books	 Plume (September 26, 2006)
0743262522	The Deluxe Election-Edition Bushisms: The First Term, in His Own Special Words: Jacob Weisberg, Molly Ivins: 9780743262521: Amazon.com: Books	 Simon & Schuster; Deluxe edition (May 4, 2004)
0439650771	My Senator and Me: A Dog&#39;s Eye View of Washington, D.C.: Edward M. Kennedy, David Small: Amazon.com: Books	 Scholastic Inc.; First edition (May 1, 2006)
1576756270	Cracking the Code: How to Win Hearts, Change Minds, and Restore America&#39;s Original Vision: Thom Hartmann, Jim Hightower: 9781576756270: Amazon.com: Books	 Berrett-Koehler Publishers (September 1, 2008)
1936227029	Amazon.com: American Taliban: How War, Sex, Sin, and Power Bind Jihadists and the Radical Right (9781936227020): Markos Moulitsas: Books	 Polipoint Press; First Printing edition (September 1, 2010)
0143113658	Blessed Unrest: How the Largest Social Movement in History Is Restoring Grace, Justice, and Beauty to the World: Paul Hawken: 9780143113652: Amazon.com: Books	 Penguin Books; Reprint edition (April 1, 2008)
0262017571	Back to Full Employment (Boston Review Books): Robert Pollin: 9780262017572: Amazon.com: Books	 The MIT Press; 1st Edition, 1st Printing edition (June 29, 2012)
1452658463	Our Divided Political Heart: The Battle for the American Idea in an Age of Discontent: E. J. Dionne, Michael Kramer: 9781452658469: Amazon.com: Books	 Tantor Media; Unabridged,MP3 - Unabridged CD edition (June 25, 2012)
0375507426	Party of the People: A History of the Democrats: Jules Witcover: 9780375507427: Amazon.com: Books	 Random House; 1st edition (November 4, 2003)
1586488015	Daniel Patrick Moynihan: A Portrait in Letters of an American Visionary: Daniel Patrick Moynihan, Steven R. Weisman: Amazon.com: Books	 PublicAffairs; 1 edition (October 12, 2010)
0307266281	American Dreamers: How the Left Changed a Nation: Michael Kazin: 9780307266286: Amazon.com: Books	 Knopf; First Edition edition (August 23, 2011)
1568583478	Fair and Balanced, My Ass!: An Unbridled Look at the Bizarre Reality of Fox News: Joseph Minton Amann, Tom Breuer: Amazon.com: Books	 Nation Books (April 5, 2007)
0060172444	The Wit &amp; Wisdom of Abraham Lincoln: A Treasury of More Than 650 Quotations and Anecdotes: Abraham Lincoln, James C. Humes, Lamar Alexander: 9780060172442: Amazon.com: Books	 Harpercollins; 1st edition (January 1996)
0393326780	Cruel and Unusual: Bush/Cheney&#39;s New World Order: Mark Crispin Miller: 9780393326789: Amazon.com: Books	 W. W. Norton & Company (August 22, 2005)
0975272438	Amazon.com: Shock Jocks: Hate Speech and Talk Radio: America?s Ten Worst Hate Talkers and the Progressive Alternatives (9780975272435): Rory O&#39;Connor, Aaron Cutler: Books	 AlterNet Books; 1st edition (June 1, 2008)
0767929446	Know Your Power: A Message to America&#39;s Daughters: Nancy Pelosi, Amy Hill Hearth: 9780767929448: Amazon.com: Books	 Anchor (April 7, 2009)
184467147X	Democratizing Democracy: Beyond the Liberal Democratic Canon (Reinventing Social Emancipation): Boaventura de Sousa Santos, Maria Jose Arthur, Leonardo Avritzer, Sakhela Buhlungu, Patrick Heller, T. M. Thomas Isaac, Ana Maria Jaramillo, Shamim Meer, Conceicao Osorio, Maria Clemencia Ramirez, Mauricio Romero, Emir Sader, Francisco Gutierrez Sanin, D. L. Sheth, Rodrigo Uprimny, Maria Teresa Uribe de H, Mauricio Garcia Villegas: 9781844671472: Amazon.com: Books	 Verso (August 17, 2007)
1602399301	Reining in the Imperial Presidency: Lessons and Recommendations Relating to the Presidency of George W. Bush: John C. Conyers Jr.: Amazon.com: Books	 Skyhorse Publishing (July 1, 2009)
1250003687	Life Among the Cannibals: A Political Career, a Tea Party Uprising, and the End of Governing As We Know It: Sen. Arlen Specter, Charles Robbins: 9781250003683: Amazon.com: Books	 Thomas Dunne Books; 1st Edition, 1st Printing edition (March 27, 2012)
0896085635	Amazon.com: Democracy Unbound: Progressive Challenges to the Two Party System (9780896085633): David Reynolds: Books	 South End Press (July 1, 1999)
0875803040	Crusading Liberal: Paul H. Douglas of Illinois: Roger Biles: 9780875803043: Amazon.com: Books	 Northern Illinois University Press; 1 edition (September 2002)
0307345718	Amazon.com: Spanking the Donkey: Dispatches from the Dumb Season (9780307345714): Matt Taibbi: Books	 Broadway (August 22, 2006)
1604862998	Amazon.com: Truths Among Us: Conversations on Building a New Culture (Flashpoint Press) (9781604862997): Derrick Jensen: Books	 PM Press; Original edition (September 1, 2011)
0743290151	Amazon.com: Whistling Past Dixie: How Democrats Can Win Without the South (9780743290159): Thomas F. Schaller: Books	 Simon & Schuster; 1St Edition edition (October 3, 2006)
0307354288	A Tragic Legacy: How a Good vs. Evil Mentality Destroyed the Bush Presidency: Glenn Greenwald: 9780307354280: Amazon.com: Books	 Broadway; Reprint edition (April 8, 2008)
0521145244	Americanism in the Twenty-First Century: Public Opinion in the Age of Immigration: Deborah J. Schildkraut: 9780521145244: Amazon.com: Books	 Cambridge University Press; 1 edition (November 15, 2010)
1594201331	Amazon.com: The Argument: Billionaires, Bloggers, and the Battle to Remake DemocraticPolitics (9781594201332): Matt Bai: Books	 Penguin Press HC, The; 1St Edition edition (August 16, 2007)
0807001503	A House for Hope: The Promise of Progressive Religion for the Twenty-first Century: John Buehrens, Rebecca Ann Parker: 9780807001509: Amazon.com: Books	 Beacon Press (May 3, 2011)
0252078306	Amazon.com: Obama, Clinton, Palin: Making History in Elections 2008 (9780252078309): Liette Gidlow: Books	 University of Illinois Press; 1st Edition edition (December 22, 2011)
1586489054	Amazon.com: Molly Ivins: A Rebel Life: Bill Minutaglio, W. Michael Smith: Books	 PublicAffairs; Reprint edition (November 9, 2010)
0394756444	Reagan&#39;s Reign of Error: Mark Green: 9780394756448: Amazon.com: Books	 Pantheon; Revised edition (October 12, 1987)
0871546280	The Future of the Family: Daniel Patrick Moynihan, Timothy M. Smeeding, Lee Rainwater: 9780871546289: Amazon.com: Books	 Russell Sage Foundation (January 30, 2006)
0812930991	Blinded by the Right: The Conscience of an Ex-Conservative: David Brock: 9780812930993: Amazon.com: Books	 Crown; 1st edition (March 5, 2002)
0520272595	Amazon.com: The Next American Revolution: Sustainable Activism for the Twenty-First Century (9780520272590): Grace Lee Boggs, Scott Kurashige, Danny Glover: Books	 University of California Press; Second Edition,Revised edition (May 31, 2012)
1605092797	Thinking Big: Progressive Ideas for a New Era: The Progressive Ideas Network, James Lardner, Nathaniel Loewentheil, Robert Kuttner: 9781605092799: Amazon.com: Books	 Berrett-Koehler Publishers (January 15, 2009)
0875290086	Promises to keep: Memorable writings and statements: Robert F Kennedy, Edward M. Kennedy: 9780875290089: Amazon.com: Books	 Hallmark Editions; Special Edition edition (1969)
1586481878	Amazon.com: One-Car Caravan: On the Road with the 2004 Democrats Before America Tunes In (9781586481872): Walter Shapiro: Books	 PublicAffairs; 1st edition (November 4, 2003)
1594200181	Politics: Observations and Arguments, 1966-2004: Hendrik Hertzberg, David Remnick: 9781594200182: Amazon.com: Books	 The Penguin Press; 1st edition (July 15, 2004)
0822317133	The Myth of Political Correctness: The Conservative Attack on Higher Education: John K. Wilson: 9780822317135: Amazon.com: Books	 Duke University Press Books (October 31, 1995)
0742558215	Amazon.com: Love in Black and White: A Memoir of Race, Religion, and Romance (9780742558212): William S. Cohen, Janet Langhart Cohen: Books	 Rowman & Littlefield Publishers (December 28, 2006)
0758204833	Sex, Lies And Politics: The Naked Truth: Larry Flynt: Amazon.com: Books	 Kensington (July 1, 2004)
0742519309	Amazon.com: Fundamental Differences: Feminists Talk Back to Social Conservatives (9780742519305): Cynthia Burack, Jyl J. Josephson, Timothy J. Biblarz, Nancy D. Campbell, Victoria Davion, Jenrose Fitzgerald, Suzanne E. Franks, Janice Haaken, Valerie C. Johnson, Sharon Lamb, Valerie Lehr, Gwendolyn Mink, R Claire Snyder, Judith Stacey: Books	 Rowman & Littlefield Publishers (August 2003)
089733535X	What Went Wrong In Ohio: The Conyers Report on the 2004 Presidential Election: Congressman John Conyers, Anita Miller, Gore Vidal: 9780897335355: Amazon.com: Books	 Academy Chicago Publishers; 1 edition (August 30, 2005)
0199257671	Boundaries and Allegiances: Problems of Justice and Responsibility in Liberal Thought: Samuel Scheffler: 9780199257676: Amazon.com: Books	 Oxford University Press, USA (February 13, 2003)
1859848710	Outsider in the House: Bernie Sanders, Huck Gutman: 9781859848715: Amazon.com: Books	 Verso; First Edition edition (June 17, 1997)
1597975125	The Obama Haters: Behind the Right-Wing Campaign of Lies, Innuendo &amp; Racism: John Wright: 9781597975124: Amazon.com: Books	 Potomac Books Inc. (April 2011)
184467505X	Parecon: Life After Capitalism: Michael Albert: 9781844675050: Amazon.com: Books	 Verso (May 2004)
0980058805	Nothing for the Nation: Who Got What Out of Iraq: Hon. John N. Hostettler: 9780980058802: Amazon.com: Books	 Publius House; First edition (May 15, 2008)
0978843150	Outright Barbarous: How the Violent Language of the Right Poisons American Democracy: Jeffrey Feldman: 9780978843151: Amazon.com: Books	 Ig Publishing (May 1, 2008)
074328514X	The Choice: How Bill Clinton Won: Bob Woodward: 9780743285148: Amazon.com: Books	 Simon & Schuster (November 1, 2005)
0805073396	What&#39;s the Matter with Kansas? How Conservatives Won the Heart of America: Thomas Frank: 9780805073393: Amazon.com: Books	 Metropolitan Books; 1st edition (June 1, 2004)
1401324118	Across That Bridge: Life Lessons and a Vision for Change: John Lewis: Amazon.com: Books	 Hyperion (May 15, 2012)
0805090908	The Wrecking Crew: How Conservatives Ruined Government, Enriched Themselves, and Beggared the Nation: Thomas Frank: 9780805090901: Amazon.com: Books	 Holt Paperbacks; 1 Reprint edition (August 18, 2009)
1401309895	Standing Up to the Madness: Ordinary Heroes in Extraordinary Times: Amy Goodman, David Goodman: Amazon.com: Books	 Hyperion (March 31, 2009)
0700608036	Liberal Economics &amp; Democracy (American Political Thought (University Press of Kansas)): Conrad P. Waligorski: 9780700608034: Amazon.com: Books	 University Press Of Kansas (February 1, 1997)
1593764278	How the World Works (Real Story (Soft Skull Press)): Noam Chomsky, Arthur Naiman, David Barsamian: 9781593764272: Amazon.com: Books	 Soft Skull Press (September 20, 2011)
0914758020	State of Black America 2009: Message to the President: National Urban League, Stephanie J. Jones, III Martin Luther King: 9780914758020: Amazon.com: Books	 National Urban League (March 25, 2009)
1600783112	Michelle: Her First Year as First Lady: Robin Givhan: Amazon.com: Books	 Triumph Books (January 1, 2010)
1879957116	Liberty Under Siege: American Politics 1976-1988: Walter Karp: 9781879957114: Amazon.com: Books	 Franklin Square Press (January 1, 2010)
1572705558	Whose Freedom?: The Battle Over America&#39;s Most Important Idea: George Lakoff: 9781572705555: Amazon.com: Books	 Audio Partners, The; Unabridged edition (July 2006)
0230606245	Demagogue: The Fight to Save Democracy from Its Worst Enemies: Michael Signer: 9780230606241: Amazon.com: Books	 Palgrave Macmillan; 1 edition (February 3, 2009)
1600245269	Mike&#39;s Election Guide: Michael Moore: Amazon.com: Books	 Hachette Audio (September 1, 2008)
0691150273	Amazon.com: The Whites of Their Eyes: The Tea Party&#39;s Revolution and the Battle over American History (The Public Square) (9780691150277): Jill Lepore: Books	 Princeton University Press; 3rd Printing edition (September 20, 2010)
014303815X	America Back on Track: Edward M. Kennedy: 9780143038153: Amazon.com: Books	 Penguin Books (August 28, 2007)
0801473241	Unexpected Power: Conflict and Change among Transnational Activists: Shareen Hertel: Amazon.com: Books	 ILR Press; 1 edition (August 31, 2006)
1439172501	Obama&#39;s Wars: Bob Woodward: Amazon.com: Books	 Simon & Schuster (May 3, 2011)
0742563162	Amazon.com: Challenging Authority: How Ordinary People Change America (Polemics) (9780742563162): Frances Fox Piven: Books	 Rowman & Littlefield Publishers (July 11, 2008)
0446539260	True Compass: A Memoir: Edward M. Kennedy: Amazon.com: Books	 Twelve; Reprint edition (April 13, 2011)
0060532491	Amazon.com: The Fight Is for Democracy : Winning the War of Ideas in America and the World: George Packer: Books	 Harper Perennial (August 14, 2003)
0415924626	Amazon.com: Educating the &quot;Right&quot; Way : Markets, Standards, God, and Inequality (9780415924627): Michael W. Apple: Books	 Routledge (April 1, 2001)
0765614677	Political Development And Democratic Theory: Steven J. Hood: 9780765614674: Amazon.com: Books	 M E Sharpe Inc (August 31, 2004)
0674060369	Unmaking the Public University: The Forty-Year Assault on the Middle Class: Christopher Newfield: 9780674060364: Amazon.com: Books	 Harvard University Press; Reprint edition (April 30, 2011)
1400133912	Amazon.com: Thomas Paine&#39;s Rights of Man (Books That Changed the World): Christopher Hitchens, Simon Vance: Books	 Tantor Media; Unabridged edition (September 15, 2007)
0743255755	Had Enough?: A Handbook for Fighting Back: James Carville, Jeff Nussbaum: 9780743255752: Amazon.com: Books	 Simon & Schuster; First Edition edition (November 1, 2003)
0199793743	The Reactionary Mind: Conservatism from Edmund Burke to Sarah Palin: Corey Robin: 9780199793747: Amazon.com: Books	 Oxford University Press, USA (September 29, 2011)
1596000600	The Truth (With Jokes): Al Franken: 9781596000605: Amazon.com: Books	 Brilliance Audio; Unabridged edition (October 25, 2005)
1586215884	Dude, Where&#39;s My Country?: Michael Moore, D. David Morin: Amazon.com: Books	 Hachette Audio; Unabridged edition (October 1, 2003)
1452604789	Patriot Acts: What Americans Must Do to Save the Republic: Catherine Crier, Pam Ward: 9781452604787: Amazon.com: Books	 Tantor Media; Unabridged,Unabridged CD edition (November 1, 2011)
074329016X	Whistling Past Dixie: How Democrats Can Win Without the South: Thomas F. Schaller: 9780743290166: Amazon.com: Books	 Simon & Schuster; Reprint edition (January 1, 2008)
0143114190	Independents Day: Awakening the American Spirit: Lou Dobbs: 9780143114192: Amazon.com: Books	 Penguin Books; Reprint edition (September 30, 2008)
0271033827	Contract, Culture, and Citizenship: Transformative Liberalism from Hobbes to Rawls: Mark E. Button: 9780271033822: Amazon.com: Books	 Penn State University Press (January 1, 2008)
1595580492	Dream: Re-imagining Progressive Politics in an Age of Fantasy: Stephen Duncombe: 9781595580498: Amazon.com: Books	 New Press (January 8, 2007)
1452605416	Democrips and Rebloodlicans: No More Gangs in Government: Jesse Ventura, Dick Russell, Johnny Heller: 9781452605418: Amazon.com: Books	 Tantor Media; Unabridged,Unabridged CD edition (June 11, 2012)
0691146136	Religion in American Politics: A Short History: Frank Lambert: 9780691146133: Amazon.com: Books	 Princeton University Press (February 1, 2010)
0465098290	Amazon.com: The End Of Equality: Second Edition (9780465098293): Mickey Kaus: Books	 Basic Books; 2 edition (April 21, 1995)
1931498873	Amazon.com: How Democrats And Progressives Can Win: Solutions From George Lakeoff (9781931498876): George Lakoff: Books	 Chelsea Green; DVD edition (January 30, 2005)
1400068843	The Death of Conservatism: Sam Tanenhaus: 9781400068845: Amazon.com: Books	 Random House (September 1, 2009)
1401322883	Standing Up to the Madness: Ordinary Heroes in Extraordinary Times: Amy Goodman, David Goodman: 9781401322885: Amazon.com: Books	 Hyperion (April 8, 2008)
0976443740	Deadly Dogma: How Neoconservatives Broke the Law to Deceive America: Grant F. Smith: 9780976443742: Amazon.com: Books	 Institute for Research (March 3, 2006)
0307237931	Amazon.com: The Architect: Karl Rove and the Dream of Absolute Power (9780307237934): James Moore, Wayne Slater: Books	 Three Rivers Press (May 22, 2007)
0809325292	Our Culture of Pandering: Paul Simon: Amazon.com: Books	 Southern Illinois University Press; 1st edition (September 25, 2003)
0374530386	Divided by God: America&#39;s Church-State Problem--and What We Should Do About It: Noah Feldman: 9780374530389: Amazon.com: Books	 Farrar, Straus and Giroux; Reprint edition (June 27, 2006)
1568584105	The Man Who Sold the World: Ronald Reagan and the Betrayal of Main Street America: William Kleinknecht: 9781568584102: Amazon.com: Books	 Nation Books; First Printing edition (February 3, 2009)
1846556023	Pity the Billionaire: The Unlikely Resurgence of the American Right: Thomas Frank: 9781846556029: Amazon.com: Books	 Harvill Secker (January 1, 2012)
0700605800	Shaping Modern Liberalism: Herbert Croly and Progressive Thought: Edward A. Stettner: 9780700605804: Amazon.com: Books	 Univ Pr of Kansas (March 1993)
0230620523	Amazon.com: Barack Obama and African American Empowerment: The Rise of Black America&#39;s New Leadership (Critical Black Studies) (9780230620520): Manning Marable, Kristen Clarke: Books	 Palgrave Macmillan; 1 edition (November 10, 2009)
0142800643	The Best Democracy Money Can Buy: Greg Palast: 9780142800645: Amazon.com: Books	 Penguin Audio; Abridged edition (April 26, 2004)
082651703X	The DeMarco Factor: Transforming Public Will into Political Power: Michael Pertschuk: 9780826517036: Amazon.com: Books	 Vanderbilt University Press; 1 edition (June 25, 2010)
1586484125	The Plan: Big Ideas for America: Rahm Emanuel, Bruce Reed: 9781586484125: Amazon.com: Books	 PublicAffairs; First Edition edition (August 15, 2006)
0740754718	Bush-Whacked: Chronicles of Government Stupidity: Leland Gregory: 9780740754715: Amazon.com: Books	 Andrews McMeel Publishing (October 1, 2005)
141656683X	The Predator State: How Conservatives Abandoned the Free Market and Why Liberals Should Too: James Galbraith: Amazon.com: Books	 Free Press; 1st Free Press Hardcover Ed edition (August 5, 2008)
0399160396	Amazon.com: It&#39;s the Middle Class, Stupid! (9780399160394): James Carville, Stan Greenberg: Books	 Blue Rider Press; 1 edition (July 10, 2012)
0452284163	Skipping Towards Gomorrah: Dan Savage: Amazon.com: Books	 Plume (September 30, 2003)
0812243609	Human Rights in Our Own Backyard: Injustice and Resistance in the United States (Pennsylvania Studies in Human Rights): William T. Armaline, Davita Silfen Glasberg, Bandana Purkayastha: 9780812243604: Amazon.com: Books	 University of Pennsylvania Press (September 27, 2011)
1402757891	The Strange Death of Republican America: Chronicles of a Collapsing Party: Sidney Blumenthal: 9781402757891: Amazon.com: Books	 Union Square Press; 1st edition (April 1, 2008)
1582438013	Delirium: How the Sexual Counterrevolution is Polarizing America: Nancy L. Cohen: 9781582438016: Amazon.com: Books	 Counterpoint (February 7, 2012)
1451694938	Boss Rove: Inside Karl Rove&#39;s Secret Kingdom of Power: Craig Unger: 9781451694932: Amazon.com: Books	 Scribner (September 4, 2012)
0822350173	Amazon.com: Beyond Biopolitics: Essays on the Governance of Life and Death (9780822350170): Patricia Ticineto Clough, Craig Willse: Books	 Duke University Press Books (October 27, 2011)
0670033650	Homegrown Democrat: A Few Plain Thoughts from the Heart of America: Garrison Keillor: 9780670033652: Amazon.com: Books	 Viking Adult (July 15, 2004)
0767928350	A Time to Fight: Reclaiming a Fair and Just America: Jim Webb: 9780767928359: Amazon.com: Books	 Broadway; 1 edition (May 19, 2008)
0199764026	Crisis of Conservatism?: The Republican Party, the Conservative Movement, and American Politics After Bush: Joel D. Aberbach, Gillian Peele: 9780199764020: Amazon.com: Books	 Oxford University Press, USA; 1 edition (June 17, 2011)
081664361X	Urban Nightmares: The Media, The Right, And The Moral Panic Over The City: Steve Macek: 9780816643615: Amazon.com: Books	 Univ Of Minnesota Press; 1 edition (May 25, 2006)
1565846346	Amazon.com: Rich Media, Poor Democracy: Communication Politics in Dubious Times (9781565846340): Robert W. McChesney: Books	 New Press, The (October 2000)
1568586434	Days of Destruction, Days of Revolt: Chris Hedges, Joe Sacco: 9781568586434: Amazon.com: Books	 Nation Books; First Edition edition (June 12, 2012)
0029187508	The Establishment Clause: Religion and the First Amendment: Leonard W. Levy: 9780029187500: Amazon.com: Books	 Macmillan Pub Co (September 1986)
0815721986	Campaign 2012: Twelve Independent Ideas for Improving American Public Policy: Benjamin Wittes: 9780815721987: Amazon.com: Books	 Brookings Institution Press; 1 edition (May 18, 2012)
0975574604	Bush Lies In State: Malachy McCourt: 9780975574607: Amazon.com: Books	 Sensei Publications; First Edition edition (July 1, 2004)
1603582932	Amazon.com: The Progressive&#39;s Guide to Raising Hell: How to Win Grassroots Campaigns, Pass Ballot Box Laws, and Get the Change We Voted For-- A Direct Democracy Toolkit (9781603582933): Jamie Court: Books	 Chelsea Green Publishing; 1 edition (August 27, 2010)
0807079553	The Twilight of Equality?: Neoliberalism, Cultural Politics, and the Attack on Democracy: Lisa Duggan: 0046442079556: Amazon.com: Books	 Beacon Press (October 11, 2004)
0521028337	Fulbright: A Biography: Randall Bennett Woods: 9780521028332: Amazon.com: Books	 Cambridge University Press (November 2, 2006)
0679721134	Amazon.com: Rules for Radicals (9780679721130): Saul Alinsky: Books	 Vintage (October 23, 1989)
0826425054	Working on a Dream: The Progressive Political Vision of Bruce Springsteen: David Masciotra: 9780826425058: Amazon.com: Books	 Continuum; 1 edition (January 28, 2010)
1568587147	Rebuild the Dream: Van Jones: 9781568587141: Amazon.com: Books	 Nation Books (April 3, 2012)
0816640866	Identity\Difference: Democratic Negotiations of Political Paradox, Expanded Edition: William E. Connolly: 9780816640867: Amazon.com: Books	 Univ Of Minnesota Press; Revised edition (August 14, 2002)
0674064305	Roosevelt&#39;s Purge: How FDR Fought to Change the Democratic Party: Susan Dunn: 9780674064300: Amazon.com: Books	 Belknap Press of Harvard University Press (May 7, 2012)
1847674321	Change We Can Believe In: Barack Obama&#39;s Plan to Renew America&#39;s Promise: Barack Obama: 9781847674326: Amazon.com: Books	 Canongate Books; First Edition edition (2008)
0670021334	The Audacity to Win: The Inside Story and Lessons of Barack Obama&#39;s Historic Victory: David Plouffe: 9780670021338: Amazon.com: Books	 Viking Adult; First Edition edition (November 3, 2009)
160846251X	Occupying Wall Street: The Inside Story of an Action that Changed America: Writers for the 99%, A.J. Bauer, Christine Baumgarthuber, Jed Bickman, Jeremy Breecher: 9781608462513: Amazon.com: Books	 Haymarket Books (April 3, 2012)
